Author,Comment,Published At
@meenugeethika4462,"such a warm, heartfelt song🌚",2025-01-29T08:12:20Z
@Beehappy-e2d,Aesthetic song and video wow,2025-01-29T07:37:09Z
@Beehappy-e2d,This song is beautiful  🎀pretty good and nice,2025-01-29T07:35:06Z
@sapanaleembu3727,This song hits different in this generation 💜💜,2025-01-29T05:54:33Z
@QuantumQuill-tr,"Pardon me...
But I was so lost somewhere that I saw 12 days ago as 12 years ago....and you know, the video is also like that...
I suddenly started wondering how I never knew that it was such an old song. And then I saw 12 days ago 😂.",2025-01-29T05:19:18Z
@glglglgl7504,Such a great song!,2025-01-29T04:38:52Z
@gluten012,Me thinking of Going Merry burning 🤍💙,2025-01-29T03:44:17Z
@dedekdy,❤,2025-01-29T03:02:45Z
@zhalfir4357,nice,2025-01-29T03:01:22Z
@dawnofthesky3783,7:12am listening to this after i stayed up the whole night and after breaking up wirh a person that my heart still yearns for. This is like a refreshing breathe of air that mends my broken heart,2025-01-29T01:45:14Z
@mfathinhalim,my kisah ah moment,2025-01-29T00:34:42Z
@AmbotPlint,0:19,2025-01-28T23:05:47Z
@Justasillygoofygoober,"I heard this song every so often for a while but I didn’t know what it was called. Yet while I only heard a snippet of it, that was enough for me to actually finally search for this song this morning and I don’t regret it by any means. Not only did it make me tear up a little but it also made me feel a sense of awe. That in itself made this a song that I’ll definitely will enjoy listening to time and time again. Maybe it’s also especially because it reminds me a lot of my own amazing partner who I love so very much and how they make me feel. I hope I’ll be able to share this song with them at some point tbh. ♥️",2025-01-28T21:47:37Z
@kabhinay.k,Love the song,2025-01-28T20:58:57Z
@yaashi,"Oh, how I wish I had a Zhang Lurang! I absolutely lovee this song! It's so nostalgic and brings me back to all the cute moments of when I fly towards you! It gives me goosebumps, that's how good this song is!! Thank you for making such a masterpiece that stays in everyone's hearts when we think of wifty. ❤",2025-01-28T18:16:06Z
@billieeilishfan17,hope he'll get the recognizion he deserve soon,2025-01-28T17:08:08Z
@billieeilishfan17,wow.,2025-01-28T17:06:31Z
@billieeilishfan17,the word '' Blue '' now is original,2025-01-28T17:06:19Z
@billieeilishfan17,not me loving this song so much even tho I'm single as a lonely whale,2025-01-28T17:05:28Z
@aleshkaemelyanov,"Алина
.
Дивностью встречи три дня упиваюсь
и от восторга трещу весь по швам,
вольным полётом идей вдохновляюсь
и очаровано радуюсь Вам!

Вашей уютностью нежно окутан.
Слух мой ласкают сплетения слов.
Как незнакомцу, Вы кажетесь чудом!
В Вас заключаются тайны родов.

В паточных локонах, смешанных с солнцем,
и в добродушно-миндальных глазах,
в щёчках, что тронуты свежим морозцем,
рай заточён, как бывает во снах!

Образ эфирный, но всё же телесный,
строки и грёзы во мне ворошит.
Как насыщаюсь водицею пресной,
глядя в два зеркальца юной души...",2025-01-28T16:03:56Z
@rajiv6031,Bro casually dropped a masterpiece! 🥺,2025-01-28T15:37:16Z
@eminem2637,Like if you didn't come from tiktok:,2025-01-28T14:48:56Z
@rajgour2661,daily listenrs,2025-01-28T12:24:29Z
@DaniloPahayahay-r6h,0:40 I like this part,2025-01-28T11:26:19Z
@user-cn7vv9vk9p,His accent make us thought his English lyrics was korean language instead,2025-01-28T10:41:20Z
@Kimmy-un8pe,is that julia ma? friend of tracy's?(saranghoe),2025-01-28T10:33:49Z
@Lalthlangsuokimu8L,One of my fa🎀,2025-01-28T10:27:29Z
@StubbyTide,You was so cute and handsome songs is nice like you lovely,2025-01-28T10:25:47Z
@Cutepookie_gaming,"I love this song, when I listen this song like I am in Haven 😢",2025-01-28T08:59:07Z
@MALON마런,i like your muisc저 좋아요❤,2025-01-28T08:52:50Z
@alixxiio.,it really does capture the essence of the show love your work.,2025-01-28T07:19:09Z
@ShellysFeet,I somehow feel like i heard this song 2 years ago?,2025-01-28T07:15:04Z
@nikhil8236,Me and she in my dream.,2025-01-28T06:11:37Z
@variansenlevanta7785,It sounds like one ok rock song! ❤,2025-01-28T05:17:48Z
@knowaayy,Late but I was here,2025-01-28T04:54:47Z
@NevaehMurahOfficial,This song is amazing man. Keep it up im so proud of you. 🫰,2025-01-28T03:25:33Z
@kiet5725,Đêm nay khi ngắm pháo hoa tôi sẽ tỏ tình cô ấy 💪💪,2025-01-28T02:16:44Z
@gripi.t,"this song blows up right after she dump me lol, im fine tho (hopefully)",2025-01-27T18:18:31Z
@shadowgamingbrotherssl7579,"I feel in love, what happen... 😭",2025-01-27T17:50:01Z
@shadowgamingbrotherssl7579,"I feel in love, im listening this song and imagine the girl who i love, im so sad i want to be with her😭...",2025-01-27T17:49:42Z
@shambhavisclass506,I WANNA FALL IN LOVE AFTER THIS,2025-01-27T17:43:57Z
@GokulaKrishnan-g8w,"Bro nee enna dan sonnalum ne oru tharkuri dan unaku chidori, lightning blade, raikiri,kamui raikiri yoda power system thariuma 🤡,asu tharinja ne yan video podura Kakashi one shot kill ku special la create pannavan unaku one shot na enna nu thariuma. One shot panna Naruto,hashirama, Minato mari large amount of chakra enargy thava illa 😂😂😂 unake tharium kamui raikiri na space time ninjutsu nu apadi na opponent evalo durable la irundalum adu oru Mater re illa adanala dan Kakashi gojova defeat paniduva nu solradu puriuda 😂 unaku content illa na enna venunalum pasuviya da tharkuri 😂 reply pannu enna panranu nanum pakura tharkuri bunda😂",2025-01-27T16:53:02Z
@_liberty_walker,Nothing bad or negative.. only good memories with her!,2025-01-27T16:46:21Z
@sakif2471,perfect,2025-01-27T16:14:33Z
@bennygaur3566,she so cute!!,2025-01-27T16:11:45Z
@ULTRA_NOOB_007,"Monday 27 January 2025
8:34pm🖤🖤🖤
Shop",2025-01-27T15:34:49Z
@Yooitsyourgirlmultifan,I LOVE THIS SONG SOOO MUCHHH FOREVER WILL BE MY FAV TILL DEATH!!❤,2025-01-27T13:13:02Z
@pratimasingh9464,"this song just melts my heart 
i just think how i ended up alone , i loved her like this song",2025-01-27T13:12:09Z
@AlexaSibrian-ml8js,This is Good ❤❤ love it,2025-01-27T12:47:15Z
@cherryzzzzgud,I love everything yung kai,2025-01-27T11:27:31Z
@hauntedmediaindia,why does the video look like average old Indian wedding videography,2025-01-27T10:37:33Z
@pagasusmonster7879,🥰🥰,2025-01-27T10:36:49Z
@BeatAnother,"rohmaaa, i miss you so muchh 🥺🥺",2025-01-27T10:32:27Z
@potato_tots,She's gorgeous I hope you guys live happily ❤❤❤,2025-01-27T10:31:40Z
@potato_tots,This song remains me of that c drama fly towards you or something like that and I love it! ❤,2025-01-27T10:29:59Z
@Charming_Moon_Girl,He's very aesthetic ❤,2025-01-27T10:11:03Z
@LucianiFabiola,I love su much this song🥰🥰,2025-01-27T09:21:08Z
@subhashshekhar-n5k,How to edit vids with such nostalgic vibes?any app?any filter?pls help,2025-01-27T08:43:21Z
@nehzzhere,Why is this song making me fall in love 🥺💙,2025-01-27T08:40:26Z
@swnbsshaikha6824,im gae for dis trackk,2025-01-27T08:25:29Z
@f0revery0ung06,💌,2025-01-27T07:24:50Z
@AnimeClip698,Love from earth 🌎❤😊,2025-01-27T05:43:02Z
@ssam601,Found a perfect song for them but haven't found them yet,2025-01-27T05:14:16Z
@EMOGAMER43,Tabhahee ra Bhai love from ranchi❤ singmore,2025-01-27T05:07:37Z
@Chrish_bourn,Love from India 🥰🇮🇳,2025-01-27T02:04:50Z
@ItsOkayItsNotToBeOkay,Everytime i listen this song because i just can imagine we inlove together like this mv 😞,2025-01-27T00:20:16Z
@walkmaster4130,such a beautiful song🥺,2025-01-26T23:26:34Z
@Leonardo-ft2hj,Found a new favorite ❤(and there's no dirty lyrics or wobbish ✨),2025-01-26T19:57:18Z
@salmanayanuddin1708,This song melt my heart ❤️❤️❤️,2025-01-26T18:02:02Z
@LuqnamArief,Can this compete with ldr?,2025-01-26T17:43:41Z
@rajasendi4029,keren,2025-01-26T17:42:36Z
@zen5021,this sounds like dat one jasontheween song...,2025-01-26T16:49:44Z
@willowwin,lovely,2025-01-26T16:44:20Z
@Milkiyasedits,0:32 so calm😊,2025-01-26T16:29:42Z
@Heyydeepika,I'm obsessed forever with these lyrics fr❤,2025-01-26T16:09:27Z
@cinnamorolli,JULIA MA,2025-01-26T16:01:48Z
@noobiegaming1st,Reminds me of someone who was never meant to be mine 🥺💔,2025-01-26T15:19:45Z
@dlo_pashaei,🌅🖤,2025-01-26T15:16:30Z
@Story.and.enjoy_4u,This guy deserve more views and likes,2025-01-26T13:50:15Z
@Athenas_shield,Hey are u  still looking for me 😊,2025-01-26T12:20:16Z
@niveditatamang7238,How to write songs like this 🥹,2025-01-26T12:03:30Z
@farenough7058,This will go viral for sure. So beautiful song,2025-01-26T11:58:40Z
@tinieevelynworld,"As a big fan of him, i made an extended version of this song on my channel. Hope you like it 🥰",2025-01-26T11:48:32Z
@crabgod.,your voice reminds me of boywithuke ngl,2025-01-26T11:46:19Z
@royzeeco5574,Nicee❤,2025-01-26T11:33:36Z
@ValleyV,he send me this song,2025-01-26T10:17:11Z
@abdulahadmemon3133,Falling in love is a virtue,2025-01-26T10:04:39Z
@PujiSwg-gd7qw,"It's been on my head for weeks.
I love this song so much.",2025-01-26T09:08:54Z
@felixheruhermawan7879,"This Song is very very great while being single, this like listening to love story from 1999s, and its very inspired example: when i fly toward you.
Keep up a amazing work.",2025-01-26T07:49:52Z
@MuhammadSaud-t7t,What filter is used in the video making it's soo adorable 🤩🤗,2025-01-26T07:48:57Z
@RajWali-gk6xr,Who thought YANG KAI made our 2025 great ❤❤❤,2025-01-26T04:29:52Z
@RajWali-gk6xr,Who thought YANG KAI made our 2025 great ❤❤❤,2025-01-26T04:29:16Z
@Nurkolisponcorusochannel,indo sini ngumpul,2025-01-26T04:14:03Z
@zandylumacad3671,listening to a love song while reading comment is great,2025-01-26T03:18:41Z
@XCALIBUR_XD,Deleted visuals from my mife 🥲,2025-01-26T02:19:27Z
@soyislaw,"Hits hard if u like her, but know that you cant get her",2025-01-26T00:00:50Z
@KhuvamMuang,Kei bel a deih hi ziau,2025-01-25T22:57:29Z
@vtgofficial4082,❤😊,2025-01-25T22:19:56Z
@SixtyPeroroncino-k3v,""" I'll imagine we fell in love ""

that's hit me hard",2025-01-25T21:35:48Z
@Nishantsankhyann,",🥺😶‍🌫️",2025-01-25T19:08:35Z
@thealchemist_99,Is it just me that when I hear this song I really feel like falling inlove with someone else like it feels like adventure time vibes 😂 i dont know what im saying but thats what I felt after hearing this song ❤,2025-01-25T18:54:34Z
@thealchemist_99,Everytime this comment gets a like Ill eat a banana 🍌,2025-01-25T18:50:41Z
@Ashasv-g5z,What a mesmerising voice..❤,2025-01-25T17:49:11Z
@rmusic2190,If this comment gets 10 likes i will confess to my crush,2025-01-25T17:29:04Z
@アルカナ-02,"I like this song, it's very soothing",2025-01-25T16:31:50Z
@irianis3239,I really want to Ed Sheeran cover this song,2025-01-25T15:53:03Z
@rbig1993,"I remember a girl I’ve known for a long time, and we went separate ways without expressing our feelings for each other. Now we both have families, and hearing this reminds me of her. I hope she is happy, just like I am happy today with my wife.",2025-01-25T15:36:12Z
@ninjagamer323lol,Should i confess?,2025-01-25T14:52:35Z
@perfectm4168,listening to this song will bring back memories of the past and peace. Support you always from now 😊,2025-01-25T14:42:31Z
@JosiphineBaniqued,This song is sooooooo gooooooood u made the best love song kai,2025-01-25T14:24:46Z
@rpgaesthetics1715,Chillax... 🏕️,2025-01-25T13:10:57Z
@koto_gamer,Always a good song!,2025-01-25T12:11:25Z
@Mantaxe,i miss her,2025-01-25T11:45:09Z
@SkyPlayz-u8r,"Here's a little bit so y'all don't get confused (this was on TokTik so talking to ppl who don't have ) Haeun was his girlfriend but they broke up and the girl in the video is a hired actress (Julia I think) not Haeun ,they made this at LA (Los Angeles) and Haeun was at Korea so she couldn't make it , She also specifically said he (yung kai) discussed everything with Haeun if it was ok if they filmed it without her and she said ofc it was ok ,So Pls STOp Hating on Julia She's just doing her part/job and they broke up not bc the music video but because of long distance idk where he lives but Haeun lives in South Korea 

Hope this was helpful (this took abt 15 minutes)",2025-01-25T11:32:24Z
@najrilsaputra3498,"This song make me sad. 







No, i was kidding",2025-01-25T11:05:58Z
@AaChU_79,"You like lisa and lisa like yellow so you kept the text colour yellow 🟡 right......
This song  is awesome ✨🤌🤌....",2025-01-25T10:44:44Z
@tataofficial3464,aku bersama balaram dan pragos sering bermain dan berkumpul di bukit govardan,2025-01-25T10:35:44Z
@Ilovemyself_1252,I think I've fallen in love with this man,2025-01-25T09:52:12Z
@Ilovemyself_1252,Such a beautiful song,2025-01-25T09:48:55Z
@thescrmbl,soft spoken anthem,2025-01-25T07:39:12Z
@Wassupimalex,Nostalga forsome reason i feel like i remember in kids day ok bye,2025-01-25T06:26:08Z
@AMARROY-h6z,Bhai Maine crush ko msg kiya tha abhi uski mummy ka number tha or uski mummy bol rhi h baua tere baap se milta hu 😭😭💦,2025-01-25T06:14:11Z
@Soo_O07p,My favorite song ❤❤ I'm obsessed with this song 😍💗,2025-01-25T05:38:32Z
@Senjuu-v4z,"I am leaving my comment here , whenever someone like my comment I will come back to listen to this masterpiece again ❤💌",2025-01-25T04:43:42Z
@dewdropsৎ,AHH MY JUILEE 🤍,2025-01-25T04:36:53Z
@kashyapanand3542,I can still here that flute play in my mind,2025-01-25T03:10:31Z
@harrytiongsonjabagat3491,I like her but I can't tell her🥲,2025-01-24T22:57:43Z
@mkemma3366,"If this comment get 1k likes I will ask my crush out
2k-ask to be my bf
3k-rizz him up",2025-01-24T21:12:38Z
@idcnvmok164,getting when i fly towards you cdrama vibes awww,2025-01-24T18:01:45Z
@awatekeerthi6239,Loveeee this❤❤❤❤❤,2025-01-24T17:18:48Z
@DEMONENIK,Such a beautiful song 💝,2025-01-24T16:43:32Z
@ripeeshoey3689,I was like 12 when I was 13 and I turn 14 and now I'm 18💔,2025-01-24T15:32:06Z
@vpxfrost,🎉🎉🎉,2025-01-24T15:31:13Z
@anatasyadelicasiregar9636,Julia visual was unreal!!,2025-01-24T13:34:30Z
@yenweilan,love ittt,2025-01-24T13:09:53Z
@yenweilan,looks like a video vlog of rangrang and zaizai 😭😻💛❤,2025-01-24T13:09:39Z
@Fian-l3k,🎉🎉🎉🎉😮😮,2025-01-24T12:16:40Z
@AryaajiSyahputra1123,Gue inget sama admin perang adalah neraka 🤣,2025-01-24T10:46:40Z
@FarhanAlangga,buaatt lagu lagi @yung kai dengan tipekal seperti ini,2025-01-24T08:18:01Z
@MaurizzeoKurnia,"even though he is no longer by my side, I will only remember him with this song😀",2025-01-24T08:14:11Z
@SachinShah14,❤,2025-01-24T07:55:42Z
@pujilestaripratiwi9668,My favorite song💗,2025-01-24T07:11:13Z
@iffahsaadah6384,"Ngga ngerti lagi, tp sbg org indo emg suka bgt sama “idealisme”. Suka bgt sama “standar tinggi”. Tapi emg pasti usaha tdk menghianati hasil bang. Standar lu trs aku support hehehe❤",2025-01-24T06:06:54Z
@vatosoacarmella,Omg I clicked so fast when I saw Julia,2025-01-24T06:02:14Z
@JANNAT-blink43,Underrated😩💗🙌🏻,2025-01-24T05:40:52Z
@PTW_PWL,❤,2025-01-24T04:44:05Z
@-sarahsushi-7232,Who came here from Frieren bgm?❤,2025-01-24T03:33:46Z
@alexaalexa2308,"0% Nudity
0% Crime
0% Drug
100% Love",2025-01-24T02:43:00Z
@arjund.saputra8688,Absen yang kena penyakit blueyunkai,2025-01-24T02:14:00Z
@Alaina14,Selamat kak sal,2025-01-24T01:22:30Z
@playandchill4670,Bro just serenaded the entire world.,2025-01-24T00:52:02Z
@violetevergarden225,penyakit blue gila,2025-01-24T00:45:06Z
@Extretic,Bro song almost made me forgot that I'm single😂,2025-01-23T23:36:02Z
@FableHAHAHA,"New <Fable> unlocked
Your <Fable> is <The gift of love>",2025-01-23T22:58:51Z
@mister_shyTV,was this song wrote to me and my girl?,2025-01-23T21:32:24Z
@atigansvaddichai8675,I love your song sooo much ❤,2025-01-23T21:17:48Z
@dopodhtc,This is goood,2025-01-23T21:04:33Z
@aryanvishwakarma9657,24 January 2025💙,2025-01-23T20:51:28Z
@traee.,you should collab w Breeze,2025-01-23T18:52:28Z
@ciiil8802,Listening this without even having relationship since birth,2025-01-23T18:50:48Z
@cahya-o6z,"Listening to this song feels like having a girlfriend, this song is so damn cool😆",2025-01-23T17:57:14Z
@cutecat2569,What if u like this song for him but he left u!?,2025-01-23T17:54:17Z
@N.Vincents,,2025-01-23T17:51:03Z
@Izaaaaaa,0:48 2:16,2025-01-23T17:44:43Z
@Super--iya21,I will keep it safe and don't worry a thing ❤.....,2025-01-23T17:36:54Z
@小柴犬-u4w,Would u mind if I took ur hand tonight…,2025-01-23T16:50:56Z
@อุรีย์แก้วบุญทอง,เพราะมากค่ะชอบ,2025-01-23T16:42:31Z
@khaykhantitham1848,ມ່ວນຫລາຍ,2025-01-23T16:05:10Z
@divaagupta,You should check the flute cover by Shrikrishna Revankar 💜✨🎶,2025-01-23T15:47:15Z
@banhbonglan2110,In love with this song,2025-01-23T15:44:18Z
@Flyingmango14,"Make more songs, these type of songs make me not want to give, you have great talent within you
Keep making lyrics and you will one day be one of the favorites of many people!😊",2025-01-23T14:37:00Z
@rhafiidhp5429,"so, when will I get someone special?",2025-01-23T14:12:18Z
@JoennalynSabio-f4u,Love it 😍❤️,2025-01-23T13:19:01Z
@raghavgupta1799,How to capture such footages?,2025-01-23T12:59:24Z
@user-low9black7besf,와 뭘로찍은거지,2025-01-23T12:30:24Z
@wanna_be_yours89,@ykai react on blue flute version you gonna like it,2025-01-23T11:51:49Z
@darkdevil5793,0:39 Me Imagining myself with the girl who will never be mine☺️💟,2025-01-23T10:52:52Z
@darkdevil5793,1:05 Me Imagining myself with the girl who will never be mine ☺️,2025-01-23T10:51:06Z
@divaangielanova5793,My kisah,2025-01-23T10:40:39Z
@adishreekundu9343,oh thats julia!! lov ethe song!!,2025-01-23T09:32:06Z
@lennmnac,"for me, this song is the epitome of calmness and tenderness",2025-01-23T08:56:24Z
@calmaloner,"Ahh, always manages to makes me remember things about her",2025-01-23T08:38:25Z
@TPOPMMELODY,"Pag umabot ng 50 likes to, aamin na ako sa crush ko",2025-01-23T07:44:07Z
@minaaa1214,comforttt songgggggggg </33,2025-01-23T07:44:06Z
@WuwaCarlo,Julia is perfect for this song,2025-01-23T07:39:55Z
@DivyanshKataria_,❤‍🔥,2025-01-23T07:31:47Z
@zhertayron,Loveee,2025-01-23T06:53:13Z
@Ajbuck000,Blue era💙🫂🌊,2025-01-23T06:19:08Z
@roronoazoro4358,Single still vibing on this song 😂,2025-01-23T06:10:25Z
@surendar903,In the era of sexualing love this guy wrote a true LOVE song,2025-01-23T05:53:19Z
@Hio2222,Watch it on 240p you will experience best ❤,2025-01-23T05:25:04Z
@alimubaraq5334,"grafik dan color grading, khas japanese movie",2025-01-23T04:41:14Z
@angelkannaujia8983,"I don't know what this is , its just ...its just wonderful and now , I am obsessed with BLUE ✨😭🩵",2025-01-23T04:29:54Z
@cLoUdYsKiEssss,“Know you’re all that I want this life” these words will make anyone feel so special if u tell them this. 🎀,2025-01-23T04:19:05Z
@chaindraadityasramadhan7028,"Your morning eyes, I could stare like watching stars
I could walk you by, and I'll tell without a thought
You'd be mine, would you mind if I took your hand tonight?
Know you're all that I want this time

I'll imagine we fell in love
I'll nap under moonlight skies with you
I think I'll picture us, you with the waves
The ocean's colors on your face
I'll leave my heart with your air
So let me fly with you
Will you be forever with me?

My love will always stay by you
I'll keep it safe, so don't you worry a thing
I'll tell you I love you more
It's stuck with you forever, so promise you won't let it go
I'll trust the universe will always bring me to you

I'll imagine we fell in love
I'll nap under moonlight skies with you
I think I'll picture us, you with the waves
The ocean's colors on your face
I'll leave my heart with your air
So let me fly with you
Will you be forever with me?
Writer(s): Yung Kai
Lyrics powered by www.musixmatch.com",2025-01-23T03:20:26Z
@Itsmepanda,Opening lu kane abis bang,2025-01-23T02:27:34Z
@yourDadhere248,any student??? ❤❤❤,2025-01-23T02:02:53Z
@Kdmvtoxin6,I'm from Cambodia 🥰,2025-01-23T01:43:39Z
@JohnreiDoble,Anyone 2027??,2025-01-23T00:47:03Z
@undreamable0796,"i really enjoy watching this lyric and music video version B, i love how Kai and Julia spending time together there!! keep it up!! <33",2025-01-22T23:54:51Z
@yarelialbertoacevedo2633,😍👏👏,2025-01-22T23:32:19Z
@isaromanovjones,This song is like a warm hug for my heart. I love it.🫰🏻,2025-01-22T23:20:03Z
@arya__ff_08,The last 5 mins of my dream before waking up 😢,2025-01-22T21:05:57Z
@boomerchannelbob3266,I am so happy God created musicians 😊,2025-01-22T18:29:33Z
@Jack.Pcmboy,"Why some songs just hit me and my heart freeze my brain and and stuck my soul
Tunnu💗🙃",2025-01-22T18:13:20Z
@Mohamad-m1s9y,I wanna sing this to my girl when she plays guitar. She is so soo cute. I feel calm and peace flying around me while I see her face her voice her smile ❤ this universe make her mine i hope,2025-01-22T17:53:15Z
@Ashutosh24fps,I hate you for feeding my delulu!!! 😡,2025-01-22T17:09:46Z
@BipulSRYadav,❤,2025-01-22T16:03:06Z
@enzy.de.piero15,noone's talking bout' the girl in the mv?!? she slew her part~ 😭😭🎀✨✨,2025-01-22T15:35:29Z
@aurorachaebol,"The first time I saw the girl in the video, I knew she is Julia Ma. Always support you two. Yung Kai songs make me feel relax and chill and so do Julia vlogs 😍",2025-01-22T14:34:14Z
@KiriHanse-dy3zz,New subscriber ❤,2025-01-22T13:59:06Z
@Hoangvietnghia,im from Vietnam and i love your song♥️,2025-01-22T11:49:38Z
@FarisChoyrt.,penyakit gila yung kai biru,2025-01-22T11:33:06Z
@mohamedfegour2266,listening to this while in love hits different 😮‍💨,2025-01-22T10:10:41Z
@catedoge3206,yuh,2025-01-22T09:09:54Z
@a_n_k_u_r.,Love starts with words but it end's with ages... if you're in right Blue💙,2025-01-22T08:32:49Z
@princechaurasiya6109,"I will imagine we fall in love
I will nap under moonlight &skies with you
I think I will picture you &us with the wave
The Ocean's colours on your face
I will leave my heart with your arms
So let me fly with you
Will you be forever with me?",2025-01-22T06:34:08Z
@basicbeaver,"I first heard this song when a girl played it on her phone during my recent trek to Helambu in Nepal. She is one of the prettiest girls I've ever seen. She also played The Script after, so she couldn't have been more perfect.

I couldn't muster up the courage to start a conversation, and I deeply regret that to this day. I wish you a happy life wherever you are!",2025-01-22T06:27:55Z
@BRG_Rain,it's so beautiful to make a grown man cry,2025-01-22T06:05:05Z
@allensanchez6289,Who's here 2026🎉🎉❤,2025-01-22T05:59:40Z
@bamjijijiji,好听⭐️⭐️⭐️⭐️⭐️,2025-01-22T05:32:47Z
@AhRa-i5q,No hansj jss you😊😮,2025-01-22T05:02:07Z
@senjaputrisiaf.e.7740,"Your morning eyes, I could stare like watching stars
I could walk you by, and I'll tell without a thought
You'd be mine, would you mind if I took your hand tonight?
Know you're all that I want this time

I'll imagine we fell in love
I'll nap under moonlight skies with you
I think I'll picture us, you with the waves
The ocean's colors on your face
I'll leave my heart with your air
So let me fly with you
Will you be forever with me?

My love will always stay by you
I'll keep it safe, so don't you worry a thing
I'll tell you I love you more
It's stuck with you forever, so promise you won't let it go
I'll trust the universe will always bring me to you

I'll imagine we fell in love
I'll nap under moonlight skies with you
I think I'll picture us, you with the waves
The ocean's colors on your face
I'll leave my heart with your air
So let me fly with you
Will you be forever with me?",2025-01-22T02:00:13Z
@senjaputrisiafajareldining3328,"Your morning eyes, I could stare like watching stars
I could walk you by, and I'll tell without a thought
You'd be mine, would you mind if I took your hand tonight?
Know you're all that I want this time

I'll imagine we fell in love
I'll nap under moonlight skies with you
I think I'll picture us, you with the waves
The ocean's colors on your face
I'll leave my heart with your air
So let me fly with you
Will you be forever with me?

My love will always stay by you
I'll keep it safe, so don't you worry a thing
I'll tell you I love you more
It's stuck with you forever, so promise you won't let it go
I'll trust the universe will always bring me to you

I'll imagine we fell in love
I'll nap under moonlight skies with you
I think I'll picture us, you with the waves
The ocean's colors on your face
I'll leave my heart with your air
So let me fly with you
Will you be forever with me?",2025-01-22T01:53:20Z
@TharMaung-u7g,love you kai,2025-01-22T01:35:18Z
@MehvishKaur,This song is literally on repeat for me. I LOVE this so much. It has great lyrics. I really like a guy in my class and this song makes my feeling even stronger❤❤❤,2025-01-22T00:17:12Z
@arphynyxx4931,"This melts my heart, I love this song so much💞",2025-01-22T00:06:58Z
@idk-r1v,🔥,2025-01-21T23:58:18Z
@francesbauer1223,"REMINDS ME OF A 50’s OR 60’s LOVE BALLAD, I LOVE IT! MY HUSBAND PASSED ON JANUARY 27,2024. I RELATE THIS TO HIM NOW, THANK YOU. I AM 70 yrs OLD I HOPE YOU KEEP MAKING BEAUTIFUL MUSIC! GOD BLESS YOU!",2025-01-21T22:16:01Z
@francesbauer1223,"REMINDS ME OF A 50’s OR 60’s LOVE BALLAD, I LOVE IT! MY HUSBAND PASSED ON JANUARY 27,2024. I RELATE THIS TO HIM NOW, THANK YOU. I AM 70 yrs OLD I HOPE YOU KEEP MAKING BEAUTIFUL MUSIC! GOD BLESS YOU!",2025-01-21T22:15:28Z
@Angelo-ok7iv,The vibe is like from the 90s it's very good and the camera Is very nice this is one of my favorite songs And it's a Love song and still single but I'm loving it,2025-01-21T21:47:51Z
@kiryunaka9968,Penyakit my kisah gila,2025-01-21T19:35:42Z
@_jyoti7_,would you mind.....,2025-01-21T19:19:59Z
@pfelow3417,❤,2025-01-21T18:47:28Z
@MufazzalMullaahmedova-wx3kv,Is it only me who listening to the song again and again,2025-01-21T18:07:45Z
@VaragopurGKP-n5v,"Your voice has healing power 💗✨
Lots of blessings and love for your upcoming journey 🌺

Rooting up for you",2025-01-21T17:58:01Z
@ashiketkumar3837,❤,2025-01-21T17:28:00Z
@coke3cakee,"This song reminds me of HIM. My first boyfriend and my first ex. He is still special to me and after he left i didn't have a crush on anyone for me it was just him even after he left. This song is really special to me cause  it always reminds me of our sweet time together. i am thankfull that god connected us in this crowded world. For sure you are his best creation for me. Thank you for existing. If by any chance this reaches you then, MR GS you will always be special to me. Also ""MY LOVE IS ALWAYS STAY BY YOU"" AND  ""I'LL TRUST THE UNIVERSE WILL ALWAYS BRING ME TO YOU"" favourite lines from the song❤. Thank you Yung Kai for making this song❤",2025-01-21T16:43:06Z
@TheBrute_Clips,I m in love with this song yrrr 💙💙🥹🥹,2025-01-21T16:38:31Z
@RGCCikupa,mabuk yung kai blue ,2025-01-21T15:46:04Z
@VishnuPk-w4t,"https://youtube.com/shorts/KjCPlh8rcIk?si=4v6p6_-Imbhn2S3e flute version by Indian 💕
Don't miss this version 😍",2025-01-21T13:45:57Z
@lupinlupout,lord i miss him like crazy,2025-01-21T13:27:10Z
@finnlauzer7416,Penyakit lagu yung kai gila 🤪,2025-01-21T13:26:00Z
@Eizaa,kapan yah☺,2025-01-21T12:34:41Z
@thephanguy,i really miss her so much,2025-01-21T12:30:12Z
@alfalsh,menggambarkan gweh banget,2025-01-21T11:58:37Z
@mingyukkkk,yeyyy,2025-01-21T11:42:56Z
@snapshot8628,ฟังวนๆซ้ำๆ🎧,2025-01-21T11:34:37Z
@klynnkhl7904,ရောင်ကိုင်း,2025-01-21T10:26:32Z
@matiasgonzalez6803,Una chica me dedico esta cancion hace poco y termine arruinando todo con ella. Me volvió a salir en YouTube la cancion y empece a llorar apenas la escuche. Lo lamento Tamy /:,2025-01-21T08:56:04Z
@tasneemajmer5370,sounds like a mashup between dandelions and a thousand years,2025-01-21T08:18:47Z
@kunpheltravels8011,Nice,2025-01-21T07:54:42Z
@pvrewdorjhansalmaa9245,This song making me remember my ex,2025-01-21T07:41:50Z
@firmankurniawan1275,I was very traumatized seeing the beach,2025-01-21T06:12:51Z
@Lyf_in_nutshell,❤❤,2025-01-21T05:54:15Z
@realg701,wow...😍😍,2025-01-21T05:01:37Z
